country,gb,days,price_usd,price_per_gb,unlimited
egypt,1,7,2.77,2.77,no
egypt,1,7,2.78,2.78,no
egypt,1,10,2.78,2.78,no
egypt,1,5,2.8,2.8,no
egypt,1,3,2.81,2.81,no
egypt,1,5,2.8164530913662893,2.816,no
egypt,0.5,7,1.4107263127136034,2.821,no
egypt,1,30,2.87,2.87,no
egypt,1,30,2.8790409378410957,2.879,no
egypt,1,30,2.9,2.9,no
egypt,1,1,2.9,2.9,yes
egypt,1,1,2.9,2.9,no
egypt,1,1,2.9,2.9,no
egypt,1,1,2.92,2.92,no
egypt,1,0,2.95,2.95,no
egypt,1,7,2.95,2.95,no
egypt,1,1,2.95,2.95,no
egypt,0.5,1,1.4864613537766524,2.973,no
egypt,1,1,2.99,2.99,no
egypt,1,7,2.99,2.99,no
egypt,1,7,2.99,2.99,no
egypt,1,7,2.99,2.99,no
egypt,1,7,2.99,2.99,no
egypt,1,1,2.99,2.99,yes
egypt,1,1,2.99,2.99,no
egypt,1,7,2.99,2.99,no
egypt,1,1,2.99,2.99,no
egypt,1,7,2.99,2.99,no
egypt,1,1,2.99,2.99,yes
egypt,1,7,2.99,2.99,no
egypt,0.5,1,1.5,3,no
egypt,1,7,3,3,no
egypt,1,7,3,3,no
egypt,1,15,3,3,no
egypt,1,3,3,3,no
egypt,1,1,3.1,3.1,no
egypt,0.5,1,1.56,3.12,no
egypt,0.1,7,0.31215672000000005,3.122,no
egypt,1,7,3.15,3.15,no
egypt,1,1,3.15,3.15,no
egypt,1,1,3.16,3.16,yes
egypt,1,30,3.2,3.2,no
egypt,1,30,3.2,3.2,no
egypt,1,7,3.2,3.2,no
egypt,1,7,3.2050711841475725,3.205,no
egypt,1,7,3.25,3.25,no
egypt,1,7,3.25,3.25,no
egypt,1,7,3.25,3.25,no
egypt,1,1,3.25,3.25,no
egypt,1,3,3.26,3.26,no
egypt,1,1,3.27,3.27,no
egypt,1,1,3.29,3.29,no
egypt,1,1,3.293685420736688,3.294,no
egypt,1,10,3.3,3.3,no
egypt,0.5,1,1.67,3.34,no
egypt,0.1,7,0.33411938985322187,3.341,no
egypt,1,10,3.3406263055927927,3.341,no
egypt,1,30,3.3527944,3.353,no
egypt,1,7,3.3527944,3.353,no
egypt,1,7,3.3527944,3.353,no
egypt,1,1,3.3527944,3.353,yes
egypt,0.5,7,1.7955265328483443,3.591,no
egypt,0.5,1,1.82,3.64,no
egypt,0.5,7,1.82,3.64,no
